"cim_version",datamodel,object,field,"data_type",description,"possible_values",recommended,deprecated
"4.12.0",Authentication,Authentication,duration,number,"The amount of time for the completion of the authentication event, in seconds.",,,""
"4.12.0",Authentication,Authentication,"response_time",number,"The amount of time it took to receive a response in the authentication event, in seconds.",,,""
"4.12.0",Authentication,Authentication,signature,string,"A human-readable signature name.",,,""
"4.12.0",Authentication,Authentication,"signature_id",string,"The unique identifier or event code of the event signature.",,,""
"4.12.0",Authentication,Authentication,src,string,"The source involved in the authentication. In the case of endpoint protection authentication the src is the client. You can alias this from more specific fields, such as src_host, src_ip, or src_nt_host.",,true,""
"4.12.0",Authentication,Authentication,"src_bunit",string,"The business unit of the authentication source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Authentication,Authentication,"src_category",string,"The category of the authentication source, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Authentication,Authentication,"src_nt_domain",string,"The name of the Active Directory used by the authentication source, if applicable.",,,""
"4.12.0",Authentication,Authentication,"src_priority",string,"The priority of the authentication source.",,,""
"4.12.0",Authentication,Authentication,"src_user",string,"In privilege escalation events, src_user represents the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.",,true,""
"4.12.0",Authentication,Authentication,"src_user_bunit",string,"The business unit of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.",,,""
"4.12.0",Authentication,Authentication,"src_user_category",string,"The category of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.",,,""
"4.12.0",Authentication,Authentication,"src_user_priority",string,"The priority of the user who initiated the privilege escalation. This field is unnecessary when an escalation has not been performed.",,,""
"4.12.0",Authentication,Authentication,tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,""
"4.12.0",Authentication,Authentication,user,string,"The name of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",,true,""
"4.12.0",Authentication,Authentication,"user_bunit",string,"The business unit of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",,,""
"4.12.0",Authentication,Authentication,"user_category",string,"The category of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",,,""
"4.12.0",Authentication,Authentication,"user_priority",string,"The priority of the user involved in the event, or who initiated the event. For authentication privilege escalation events this should represent the user targeted by the escalation.",,,""
"4.12.0",Certificates,"All_Certificates",dest,string,"The target in the certificate management event.",,,""
"4.12.0",Certificates,"All_Certificates","dest_bunit",string,"The business unit of the target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Certificates,"All_Certificates","dest_category",string,"The category of the target, such as email_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk Enterprise Security.",,,""
"4.12.0",Certificates,"All_Certificates","dest_port",number,"The port number of the target.",,,""
"4.12.0",Certificates,"All_Certificates","dest_priority",string,"The priority of the target.",,,""
"4.12.0",Certificates,"All_Certificates",duration,number,"The amount of time for the completion of the certificate management event, in seconds.",,,""
"4.12.0",Certificates,"All_Certificates","response_time",number,"The amount of time it took, in seconds, to receive a response in the certificate management event, if applicable.",,,""
"4.12.0",Certificates,"All_Certificates",src,string,"The source involved in the certificate management event. You can alias this from more specific fields, such as src_host, src_ip, or src_nt_host.",,,""
"4.12.0",Certificates,"All_Certificates","src_bunit",string,"The business unit of the certificate management source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Certificates,"All_Certificates","src_category",string,"The category of the certificate management source, such as email_server or SOX-compliant. This field is automatically provided by Asset and Identity correlation features of applications like the Splunk Enterprise Security.",,,""
"4.12.0",Certificates,"All_Certificates","src_port",number,"The port number of the source.",,,""
"4.12.0",Certificates,"All_Certificates","src_priority",string,"The priority of the certificate management source.",,,""
"4.12.0",Certificates,"All_Certificates",tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,""
"4.12.0",Certificates,"All_Certificates",transport,string,"The transport protocol of the Network Traffic involved with this certificate.",,,""
"4.12.0",Certificates,SSL,"ssl_end_time",timestamp,"The expiry time of the certificate.",,true,""
"4.12.0",Certificates,SSL,"ssl_engine",string,"The name of the signature engine that created the certificate.",,,""
"4.12.0",Certificates,SSL,"ssl_hash",string,"The hash of the certificate.",,true,""
"4.12.0",Certificates,SSL,"ssl_is_valid",boolean,"Indicator of whether the ssl certificate is valid or not.","true, false, 1, 0",,""
"4.12.0",Certificates,SSL,"ssl_issuer",string,"The certificate issuer's RFC2253 Distinguished Name.",,true,""
"4.12.0",Certificates,SSL,"ssl_issuer_common_name",string,"The certificate issuer's common name.",,true,""
"4.12.0",Certificates,SSL,"ssl_issuer_email",string,"The certificate issuer's email address.",,,""
"4.12.0",Certificates,SSL,"ssl_issuer_locality",string,"The certificate issuer's locality.",,,""
"4.12.0",Certificates,SSL,"ssl_issuer_organization",string,"The certificate issuer's organization.",,,""
"4.12.0",Certificates,SSL,"ssl_issuer_state",string,"The certificate issuer's state of residence.",,,""
"4.12.0",Certificates,SSL,"ssl_issuer_street",string,"The certificate issuer's street address.",,,""
"4.12.0",Certificates,SSL,"ssl_issuer_unit",string,"The certificate issuer's organizational unit.",,,""
"4.12.0",Certificates,SSL,"ssl_name",string,"The name of the ssl certificate.",,,""
"4.12.0",Certificates,SSL,"ssl_policies",string,"The Object Identification Numbers of the certificate's policies in a comma separated string.",,,""
"4.12.0",Certificates,SSL,"ssl_publickey",string,"The certificate's public key.",,,""
"4.12.0",Certificates,SSL,"ssl_publickey_algorithm",string,"The algorithm used to create the public key.",,,""
"4.12.0",Certificates,SSL,"ssl_serial",string,"The certificate's serial number.",,true,""
"4.12.0",Certificates,SSL,"ssl_session_id",string,"The session identifier for this certificate.",,,""
"4.12.0",Certificates,SSL,"ssl_signature_algorithm",string,"The algorithm used by the Certificate Authority to sign the certificate.",,,""
"4.12.0",Certificates,SSL,"ssl_start_time",timestamp,"This is the start date and time for this certificate's validity.",,true,""
"4.12.0",Certificates,SSL,"ssl_subject",string,"The certificate owner's RFC2253 Distinguished Name.",,true,""
"4.12.0",Certificates,SSL,"ssl_subject_common_name",string,"The certificate subject's common name.",,true,""
"4.12.0",Certificates,SSL,"ssl_subject_email",string,"The certificate owner's e-mail address.",,,""
"4.12.0",Certificates,SSL,"ssl_subject_locality",string,"The certificate owner's locality.",,,""
"4.12.0",Certificates,SSL,"ssl_subject_organization",string,"The certificate owner's organization.",,,""
"4.12.0",Certificates,SSL,"ssl_subject_state",string,"The certificate owner's state of residence.",,,""
"4.12.0",Certificates,SSL,"ssl_subject_street",string,"The certificate owner's street address.",,,""
"4.12.0",Certificates,SSL,"ssl_subject_unit",string,"The certificate owner's organizational unit.",,,""
"4.12.0",Certificates,SSL,"ssl_validity_window",number,"The length of time, in seconds, for which this certificate is valid.",,,""
"4.12.0",Certificates,SSL,"ssl_version",string,"The ssl version of this certificate.",,,""
"4.12.0",Change,"Account_Management","dest_nt_domain",string,"The NT domain of the destination, if applicable.",,true,""
"4.12.0",Change,"Account_Management","src_nt_domain",string,"The NT domain of the source, if applicable.",,true,""
"4.12.0",Change,"Account_Management","src_user",string,"For account changes, the user or entity performing the change.",,true,""
"4.12.0",Change,"Account_Management","src_user_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"Account_Management","src_user_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"Account_Management","src_user_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes",action,string,"The action performed on the resource.","acl_modified, cleared, created, deleted, modified, read, stopped, updated",true,""
"4.12.0",Change,"All_Changes","change_type",string,"The type of change, such as filesystem or AAA (authentication, authorization, and accounting).",restart,true,""
"4.12.0",Change,"All_Changes",command,string,"The command that initiated the change.",,true,""
"4.12.0",Change,"All_Changes",dest,string,"The resource where change occurred. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",,true,""
"4.12.0",Change,"All_Changes","dest_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","dest_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","dest_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes",dvc,string,"The device that reported the change, if applicable, such as a FIP or CIM server. You can alias this from more specific fields, such as dvc_host, dvc_ip, or dvc_name.",,true,""
"4.12.0",Change,"All_Changes",object,string,"Name of the affected object on the resource, such as a router interface, user account, or server volume.",,true,""
"4.12.0",Change,"All_Changes","object_attrs",string,"The attributes that were updated on the updated resource object, if applicable.",,true,""
"4.12.0",Change,"All_Changes","object_category",string,"Generic name for the class of the updated resource object. Expected values may be specific to an app.","directory, file, group, registry, user",true,""
"4.12.0",Change,"All_Changes","object_id",string,"The unique updated resource object ID as presented to the system, if applicable. For example, a SID, UUID, or GUID value.",,true,""
"4.12.0",Change,"All_Changes","object_path",string,"The path of the modified resource object, if applicable, such as a file, directory, or volume.",,true,""
"4.12.0",Change,"All_Changes",result,string,"The vendor-specific result of a change, or clarification of an action status. For example, status=failure may be accompanied by result=blocked by policy or result=disk full. Note: result is a string. Use msg_severity_id for severity ID fields that are integer data types.",lockout,true,""
"4.12.0",Change,"All_Changes","result_id",string,"A result indicator for an action status.",,true,""
"4.12.0",Change,"All_Changes",src,string,"The resource where the change was originated. You can alias this from more specific fields, such as src_host, src_ip, or src_name.",,true,""
"4.12.0",Change,"All_Changes","src_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","src_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","src_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes",status,string,"Status of the update.","success, failure",true,""
"4.12.0",Change,"All_Changes",tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,""
"4.12.0",Change,"All_Changes",user,string,"The user or entity performing the change. For account changes, this is the account that was changed (see src_user for user or entity performing the change).",,true,""
"4.12.0",Change,"All_Changes","user_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","user_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","user_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Change,"All_Changes","vendor_product",string,"The vendor and product or service that detected the change. This field can be automatically populated by vendor and product fields in your data.",,true,""
"4.12.0","Change_Analysis","Account_Management","dest_nt_domain",string,"The NT domain of the destination, if applicable.",,true,1
"4.12.0","Change_Analysis","Account_Management","src_nt_domain",string,"The NT domain of the source, if applicable.",,true,1
"4.12.0","Change_Analysis","Account_Management","src_user",string,"For account changes, the user or entity performing the change.",,true,1
"4.12.0","Change_Analysis","Account_Management","src_user_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","Account_Management","src_user_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","Account_Management","src_user_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes",action,string,"The action performed on the resource.","acl_modified, cleared, created, deleted, modified, read, stopped, updated",true,1
"4.12.0","Change_Analysis","All_Changes","change_type",string,"The type of change, such as filesystem or AAA (authentication, authorization, and accounting).",restart,true,1
"4.12.0","Change_Analysis","All_Changes",command,string,"The command that initiated the change.",,true,1
"4.12.0","Change_Analysis","All_Changes",dest,string,"The resource where change occurred. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",,true,1
"4.12.0","Change_Analysis","All_Changes","dest_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","dest_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","dest_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes",dvc,string,"The device that reported the change, if applicable, such as a FIP or CIM server. You can alias this from more specific fields, such as dvc_host, dvc_ip, or dvc_name.",,true,1
"4.12.0","Change_Analysis","All_Changes",object,string,"Name of the affected object on the resource, such as a router interface, user account, or server volume.",,true,1
"4.12.0","Change_Analysis","All_Changes","object_attrs",string,"The attributes that were updated on the updated resource object, if applicable.",,true,1
"4.12.0","Change_Analysis","All_Changes","object_category",string,"Generic name for the class of the updated resource object. Expected values may be specific to an app.","directory, file, group, registry, user",true,1
"4.12.0","Change_Analysis","All_Changes","object_id",string,"The unique updated resource object ID as presented to the system, if applicable. For example, a SID, UUID, or GUID value.",,true,1
"4.12.0","Change_Analysis","All_Changes","object_path",string,"The path of the modified resource object, if applicable, such as a file, directory, or volume.",,true,1
"4.12.0","Change_Analysis","All_Changes",result,string,"The vendor-specific result of a change, or clarification of an action status. For example, status=failure may be accompanied by result=blocked by policy or result=disk full. Note: result is a string. Use msg_severity_id for severity ID fields that are integer data types.",lockout,true,1
"4.12.0","Change_Analysis","All_Changes","result_id",string,"A result indicator for an action status.",,true,1
"4.12.0","Change_Analysis","All_Changes",src,string,"The resource where the change was originated. You can alias this from more specific fields, such as src_host, src_ip, or src_name.",,true,1
"4.12.0","Change_Analysis","All_Changes","src_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","src_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","src_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes",status,string,"Status of the update.","success, failure",true,1
"4.12.0","Change_Analysis","All_Changes",tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,1
"4.12.0","Change_Analysis","All_Changes",user,string,"The user or entity performing the change. For account changes, this is the account that was changed (see src_user for user or entity performing the change).",,true,1
"4.12.0","Change_Analysis","All_Changes","user_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","user_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","user_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Change_Analysis","All_Changes","vendor_product",string,"The vendor and product or service that detected the change. This field can be automatically populated by vendor and product fields in your data.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_access_time",timestamp,"The time the file (the object of the event) was accessed.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_acl",string,"Access controls associated with the file affected by the event.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_create_time",timestamp,"The time the file (the object of the event) was created.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_hash",string,"A cryptographic identifier assigned to the file object affected by the event.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_modify_time",timestamp,"The time the file (the object of the event) was altered.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_name",string,"The name of the file that is the object of the event (without location information related to local file or directory structure).",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_path",string,"The location of the file that is the object of the event, in local file and directory structure terms.",,true,1
"4.12.0","Change_Analysis","Filesystem_Changes","file_size",number,"The size of the file that is the object of the event, in kilobytes.",,true,1
"4.12.0","Compute_Inventory","All_Inventory",description,string,"The description of the inventory system.",,,""
"4.12.0","Compute_Inventory","All_Inventory",dest,string,"The system where the data originated, the source of the event. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",,true,""
"4.12.0","Compute_Inventory","All_Inventory","dest_bunit",string,"The business unit of the system where the data originated. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0","Compute_Inventory","All_Inventory","dest_category",string,"The category of the system where the data originated, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0","Compute_Inventory","All_Inventory","dest_priority",string,"The priority of the system where the data originated.",,,""
"4.12.0","Compute_Inventory","All_Inventory",enabled,boolean,"Indicates whether the resource is enabled or disabled.",,,""
"4.12.0","Compute_Inventory","All_Inventory",family,string,"The product family of the resource, such as 686_64 or RISC.",,,""
"4.12.0","Compute_Inventory","All_Inventory","hypervisor_id",string,"The hypervisor identifier, if applicable.",,,""
"4.12.0","Compute_Inventory","All_Inventory",serial,string,"The serial number of the resource.",,,""
"4.12.0","Compute_Inventory","All_Inventory",status,string,"The current reported state of the resource.",,,""
"4.12.0","Compute_Inventory","All_Inventory",tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,""
"4.12.0","Compute_Inventory","All_Inventory","vendor_product",string,"The vendor and product name of the resource, such as Cisco Catalyst 3850. This field can be automatically populated by vendor and product fields in your data.",,true,""
"4.12.0","Compute_Inventory","All_Inventory",version,string,"The version of a computer resource, such as 2008r2 or 3.0.0.",,,""
"4.12.0","Compute_Inventory",CPU,"cpu_cores",number,"The number of CPU cores reported by the resource (total, not per CPU).",,true,""
"4.12.0","Compute_Inventory",CPU,"cpu_count",number,"The number of CPUs reported by the resource.",,true,""
"4.12.0","Compute_Inventory",CPU,"cpu_mhz",number,"The maximum speed of the CPU reported by the resource (in megahertz).",,true,""
"4.12.0","Compute_Inventory",Memory,mem,number,"The total amount of memory installed in or allocated to the resource, in megabytes.",,true,""
"4.12.0","Compute_Inventory",Network,"dest_ip",string,"The IP address for the system that the data is going to.",,,""
"4.12.0","Compute_Inventory",Network,dns,string,"The domain name server for the resource.",,true,""
"4.12.0","Compute_Inventory",Network,"inline_nat",string,"Identifies whether the resource is a network address translation pool.",,,""
"4.12.0","Compute_Inventory",Network,interface,string,"The network interfaces of the computing resource, such as eth0, eth1 or Wired Ethernet Connection, Teredo Tunneling Pseudo-Interface.",,true,""
"4.12.0","Compute_Inventory",Network,ip,string,"The network addresses of the computing resource, such as 192.168.1.1 or E80:0000:0000:0000:0202:B3FF:FE1E:8329.",,true,""
"4.12.0","Compute_Inventory",Network,"lb_method",string,"The load balancing method used by the computing resource such as method, round robin, or least weight.",,,""
"4.12.0","Compute_Inventory",Network,mac,string,"A MAC (media access control) address associated with the resource, such as 06:10:9f:eb:8f:14. Note: Always force lower case on this field and use colons instead of dashes, spaces, or no separator.",,true,""
"4.12.0","Compute_Inventory",Network,name,string,"A name field provided in some data sources.",,true,""
"4.12.0","Compute_Inventory",Network,node,string,"Represents a node hit.",,,""
"4.12.0","Compute_Inventory",Network,"node_port",number,"The number of the destination port on the server that you requested from.",,,""
"4.12.0","Compute_Inventory",Network,"src_ip",string,"The IP address for the system from which the data originates.",,,""
"4.12.0","Compute_Inventory",Network,"vip_port",number,"The port number for the virtual IP address (VIP). A VIP allows multiple MACs to use one IP address. VIPs are often used by load balancers.",,,""
"4.12.0","Compute_Inventory",OS,os,string,"The operating system of the resource, such as Microsoft Windows Server 2008r2. This field is constructed from vendor_product and version fields.",,true,""
"4.12.0","Compute_Inventory",Snapshot,size,number,"The snapshot file size, in megabytes.",,true,""
"4.12.0","Compute_Inventory",Snapshot,snapshot,string,"The name of a snapshot file.",,true,""
"4.12.0","Compute_Inventory",Snapshot,time,timestamp,"The time at which the snapshot was taken.",,,""
"4.12.0","Compute_Inventory",Storage,array,string,"The array that the storage resource is a member of, if applicable.",,,""
"4.12.0","Compute_Inventory",Storage,blocksize,number,"The block size used by the storage resource, in kilobytes.",,,""
"4.12.0","Compute_Inventory",Storage,cluster,string,"The index cluster that the resource is a member of, if applicable.",,,""
"4.12.0","Compute_Inventory",Storage,"fd_max",number,"The maximum number of file descriptors available.",,,""
"4.12.0","Compute_Inventory",Storage,latency,number,"The latency reported by the resource, in milliseconds.",,,""
"4.12.0","Compute_Inventory",Storage,mount,string,"The path at which a storage resource is mounted.",,true,""
"4.12.0","Compute_Inventory",Storage,parent,string,"A higher level object that this resource is owned by, if applicable.",,,""
